win_title,win_class,task_type,remain_interval,idle_interval,day,time
"8DBMang Reader","TMainForm","Ohters",1.500000,0.000000,2009-06-14,10:28:02
"八阕 · 广角新闻 · 国　际：【中国该对俄罗斯说不】 - Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",18.400000,0.000000,2009-06-14,10:28:23
"Data (D:)","CabinetWClass","资源管理器",1.200000,0.000000,2009-06-14,10:28:24
"Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",2.500000,0.000000,2009-06-14,10:28:27
"管理项目 - ScrapBook","MozillaUIWindowClass","Beyond Compare",2.000000,0.000000,2009-06-14,10:28:30
"Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",6.500000,0.000000,2009-06-14,10:28:37
"ScrapBook - 详细信息","MozillaDialogClass","Ohters",0.900000,0.000000,2009-06-14,10:28:38
"八阕 · 广角新闻 · 国　际：【中国该对俄罗斯说不】 - Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",18.500000,0.000000,2009-06-14,10:29:00
"ScrapBook - 详细信息","MozillaDialogClass","Ohters",0.500000,0.000000,2009-06-14,10:29:01
"八阕 · 广角新闻 · 国　际：【中国该对俄罗斯说不】 - Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",9.700000,0.000000,2009-06-14,10:29:12
"8DBMang Reader","TMainForm","Ohters",3.900000,0.000000,2009-06-14,10:29:16
"八阕 · 广角新闻 · 国　际：【中国该对俄罗斯说不】 - Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",6.000000,0.000000,2009-06-14,10:29:23
"ScrapBook - 详细信息","MozillaDialogClass","Ohters",1.100000,0.000000,2009-06-14,10:29:24
"八阕 · 广角新闻 · 国　际：【中国该对俄罗斯说不】 - Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",37.500000,0.000000,2009-06-14,10:30:06
"ScrapBook - 详细信息","MozillaDialogClass","Ohters",1.900000,0.000000,2009-06-14,10:30:09
"八阕 · 广角新闻 · 国　际：【中国该对俄罗斯说不】 - Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",16.100000,0.000000,2009-06-14,10:30:27
"管理项目 - ScrapBook","MozillaUIWindowClass","Beyond Compare",36.800000,0.000000,2009-06-14,10:31:08
"Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",5.200000,0.000000,2009-06-14,10:31:14
"管理项目 - ScrapBook","MozillaUIWindowClass","Beyond Compare",89.900000,0.000000,2009-06-14,10:32:54
"管理项目 - ScrapBook","MozillaUIWindowClass","Beyond Compare",3.700000,0.000000,2009-06-14,10:32:59
"管理项目 - ScrapBook","MozillaUIWindowClass","Beyond Compare",55.100000,0.000000,2009-06-14,10:34:01
"新建文件夹","MozillaDialogClass","Ohters",3.100000,0.000000,2009-06-14,10:34:05
"管理项目 - ScrapBook","MozillaUIWindowClass","Beyond Compare",29.200000,0.000000,2009-06-14,10:34:38
"8DBMang Reader","TMainForm","Ohters",33.800000,0.000000,2009-06-14,10:35:43
"管理项目 - ScrapBook","MozillaUIWindowClass","Beyond Compare",9.100000,0.000000,2009-06-14,10:35:53
"8DBMang Reader","TMainForm","Ohters",0.000000,0.000000,2009-06-14,10:35:53
"管理项目 - ScrapBook","MozillaUIWindowClass","Beyond Compare",7.400000,0.000000,2009-06-14,10:36:02
"Windows Internet Explorer","IEFrame","Ohters",55.100000,0.000000,2009-06-14,10:37:02
"","Shell_TrayWnd","Ohters",0.000000,0.000000,2009-06-14,10:37:02
"管理项目 - ScrapBook","MozillaUIWindowClass","Beyond Compare",1.700000,0.000000,2009-06-14,10:37:04
"","Shell_TrayWnd","Ohters",1.300000,0.000000,2009-06-14,10:37:06
